jroos	CART110DFA-Found-I_Design-Principles
rsullender	CART120DFA-Found-I_Design-Digital-Skill
rsullender	CART120DFB-Found-I_Design-Digital-Skill
wfrakeiii	CART240DFA-Storyboarding
jpadilla13	CART250DFA-Modeling-I
ecowan	CART320DFA-Intro-to-2D-Animation
ecowan	CART345DFA-Digital-Animation-II
jroos	CART370DFA-Graphic-Design-I
jwang5	CART370DFB-Graphic-Design-I
jgaetjen	CART399DFA-Internship-in-Computer-Arts
jroos	CART470DFB-Graphic-Design-III
ecowan	CART495DFA-Senior-Project-I
jroos	CART495DFB-Senior-Project-I
