jroos	CART110DFAB-Found-I-Design-Principles
rsullender	CART120DFA-Digital-Design-Toolset
roconnor3	CART120DFB-Digital-Design-Toolset
roconnor3	CART240DFA-Storyboarding
rsullender	CART250DFA-3D-Modeling-I
jgaetjen	CART300DFA-Drawing-III-Figure-Drawing
kbushman	CART316DFA-Design-History
ecowan	CART320DFA-Intro-to-2D-Animation
ecowan	CART345DFA-Digital-Animation-II
rsullender	CART360DFA-Game-Design-I
jroos	CART370DFA-Graphic-Design-I
jwang5	CART370DFC-Graphic-Design-I
wdorais	CART395DFA-Intro-3D-Animation
mclarke31	CART395DFC-Typography-II
rsullender	CART399DLA-Internship-Computer-Arts
jroos	CART470DFB-Graphic-Design-III
jconnolly10	CART495DFA-Senior-Project-I
ecowan	CART495DFB-Senior-Project-I
